fecha,dato
2008-12-05,13.7567
2008-12-08,13.4597
2008-12-09,13.4921
2008-12-10,13.4722
2008-12-11,13.1821
2008-12-15,13.3317
2008-12-16,13.2717
2008-12-17,13.1275
2008-12-18,13.215
2008-12-19,13.1197
2008-12-22,13.1742
2008-12-23,13.2175
2008-12-24,13.3114
2008-12-26,13.3538
2008-12-29,13.5383
2008-12-30,13.7738
2008-12-31,13.8325
2009-01-02,13.7678
2009-01-05,13.5507
2009-01-06,13.3458
2009-01-07,13.4136
2009-01-08,13.5045
2009-01-09,13.7008
2009-01-12,13.7608
2009-01-13,13.839
2009-01-14,14.1083
2009-01-15,14.2192
2009-01-16,13.9058
2009-01-19,13.9777
2009-01-20,13.9382
2009-01-21,13.9145
2009-01-22,13.9325
2009-01-23,14.095
2009-01-26,13.9342
2009-01-27,14.1675
2009-01-28,14.1513
2009-01-29,14.1975
2009-01-30,14.3097
2009-02-03,14.5404
2009-02-04,14.4667
2009-02-05,14.2945
2009-02-06,14.1778
2009-02-09,14.1392
2009-02-10,14.3575
2009-02-11,14.5313
2009-02-12,14.6013
2009-02-13,14.4326
2009-02-16,14.5288
2009-02-17,14.6118
2009-02-18,14.6725
2009-02-19,14.5505
2009-02-20,14.8163
2009-02-23,14.8528
2009-02-24,14.8327
2009-02-25,14.9275
2009-02-26,14.9322
2009-02-27,15.0698
2009-03-02,15.365
2009-03-03,15.3372
2009-03-04,15.2178
2009-03-05,15.2855
2009-03-06,15.2633
2009-03-09,15.3517
2009-03-10,15.3142
2009-03-11,15.1145
2009-03-12,14.9083
2009-03-13,14.569
2009-03-17,14.0502
2009-03-18,14.1457
2009-03-19,14.08
2009-03-20,14.148
2009-03-23,14.3204
2009-03-24,14.2683
2009-03-25,14.2358
2009-03-26,14.2163
2009-03-27,14.3317
2009-03-30,14.3855
2009-03-31,14.1517
2009-04-01,13.9108
2009-04-02,13.7924
2009-04-03,13.6137
2009-04-06,13.6325
2009-04-07,13.5712
2009-04-08,13.3648
2009-04-13,13.0914
2009-04-14,13.086
2009-04-15,13.1683
2009-04-16,13.0511
2009-04-17,13.1558
2009-04-20,13.32
2009-04-21,13.175
2009-04-22,13.1457
2009-04-23,13.3099
2009-04-24,13.2318
2009-04-27,13.755
2009-04-28,13.8667
2009-04-29,13.6485
2009-04-30,13.8443
2009-05-04,13.35
2009-05-05,13.2242
2009-05-06,13.2268
2009-05-07,13.1103
2009-05-08,13.1067
2009-05-11,13.1008
2009-05-12,13.2208
2009-05-13,13.3177
2009-05-14,13.2983
2009-05-15,13.2058
2009-05-18,13.1363
2009-05-19,12.968
2009-05-20,12.8695
2009-05-21,13.103
2009-05-22,13.1728
2009-05-25,13.1375
2009-05-26,13.1338
2009-05-27,13.159
2009-05-28,13.2337
2009-05-29,13.1667
2009-06-01,13.155
2009-06-02,13.2609
2009-06-03,13.3172
2009-06-04,13.2675
2009-06-05,13.2768
2009-06-08,13.45
2009-06-09,13.4793
2009-06-10,13.6507
2009-06-11,13.4581
2009-06-12,13.3997
2009-06-15,13.4523
2009-06-16,13.3525
2009-06-17,13.4698
2009-06-18,13.3694
2009-06-19,13.3248
2009-06-22,13.3782
2009-06-23,13.3187
2009-06-24,13.3051
2009-06-25,13.2778
2009-06-26,13.2023
2009-06-29,13.1812
2009-06-30,13.1722
2009-07-01,13.0972
2009-07-02,13.1695
2009-07-03,13.2428
2009-07-06,13.2547
2009-07-07,13.2724
2009-07-08,13.4333
2009-07-09,13.5758
2009-07-10,13.7052
2009-07-13,13.8105
2009-07-14,13.7645
2009-07-15,13.6526
2009-07-16,13.587
2009-07-17,13.3895
2009-07-20,13.3158
2009-07-21,13.2879
2009-07-22,13.2312
2009-07-23,13.1915
2009-07-24,13.2247
2009-07-27,13.2167
2009-07-28,13.2825
2009-07-29,13.2643
2009-07-30,13.2223
2009-07-31,13.2125
2009-08-03,13.1293
2009-08-04,13.1073
2009-08-05,13.105
2009-08-06,12.9926
2009-08-07,12.9349
2009-08-10,12.922
2009-08-11,12.9937
2009-08-12,12.997
2009-08-13,12.8658
2009-08-14,12.8766
2009-08-17,12.9963
2009-08-18,12.9555
2009-08-19,12.9159
2009-08-20,12.8733
2009-08-21,12.8227
2009-08-24,12.8274
2009-08-25,12.8975
2009-08-26,13.1378
2009-08-27,13.2462
2009-08-28,13.2579
2009-08-31,13.314
2009-09-01,13.5246
2009-09-02,13.6427
2009-09-03,13.5898
2009-09-04,13.4658
2009-09-07,13.3646
2009-09-08,13.2826
2009-09-09,13.3923
2009-09-10,13.4582
2009-09-11,13.3432
2009-09-14,13.3892
2009-09-15,13.3475
2009-09-17,13.23
2009-09-18,13.2413
2009-09-21,13.353
2009-09-22,13.3186
2009-09-23,13.3733
2009-09-24,13.4549
2009-09-25,13.5243
2009-09-28,13.5042
2009-09-29,13.5513
2009-09-30,13.4928
2009-10-01,13.6242
2009-10-02,13.6773
2009-10-05,13.655
2009-10-06,13.4943
2009-10-07,13.4673
2009-10-08,13.3227
2009-10-09,13.255
2009-10-12,13.2178
2009-10-13,13.1774
2009-10-14,13.0779
2009-10-15,13.0884
2009-10-16,13.1057
2009-10-19,13.084
2009-10-20,12.9407
2009-10-21,12.9196
2009-10-22,12.9495
2009-10-23,12.9798
2009-10-26,13.149
2009-10-27,13.2662
2009-10-28,13.2823
2009-10-29,13.0825
2009-10-30,13.1479
2009-11-03,13.2908
2009-11-04,13.2708
2009-11-05,13.343
2009-11-06,13.3758
2009-11-09,13.2996
2009-11-10,13.2308
2009-11-11,13.1622
2009-11-12,13.2061
2009-11-13,13.1012
2009-11-17,13.0875
2009-11-18,12.9818
2009-11-19,13.0502
2009-11-20,13.0895
2009-11-23,13.0151
2009-11-24,12.9305
2009-11-25,12.866
2009-11-26,12.9475
2009-11-27,12.9139
2009-11-30,12.9157
2009-12-01,12.8557
2009-12-02,12.8026
2009-12-03,12.6658
2009-12-04,12.5969
2009-12-07,12.6558
2009-12-08,12.8399
2009-12-09,12.9862
2009-12-10,12.9739
2009-12-11,12.9253
2009-12-14,12.8105
2009-12-15,12.7234
2009-12-16,12.698
2009-12-17,12.9331
2009-12-18,12.8979
2009-12-21,12.8121
2009-12-22,12.9449
2009-12-23,12.8896
2009-12-24,12.8793
2009-12-28,12.9288
2009-12-29,13.0587
2009-12-30,13.0437
2009-12-31,13.0659
2010-01-04,12.9226
2010-01-05,12.8241
2010-01-06,12.7489
2010-01-07,12.7646
2010-01-08,12.7243
2010-01-11,12.6692
2010-01-12,12.7291
2010-01-13,12.7698
2010-01-14,12.7364
2010-01-15,12.6884
2010-01-18,12.6664
2010-01-19,12.6478
2010-01-20,12.7388
2010-01-21,12.772
2010-01-22,12.9412
2010-01-25,12.9018
2010-01-26,12.8549
2010-01-27,12.9295
2010-01-28,12.9975
2010-01-29,13.0098
2010-02-02,12.8699
2010-02-03,12.9395
2010-02-04,13.0687
2010-02-05,13.1753
2010-02-08,13.164
2010-02-09,13.0836
2010-02-10,13.0601
2010-02-11,13.0609
2010-02-12,12.9764
2010-02-15,12.942
2010-02-16,12.8683
2010-02-17,12.8781
2010-02-18,12.8442
2010-02-19,12.8337
2010-02-22,12.8017
2010-02-23,12.8584
2010-02-24,12.8539
2010-02-25,12.8503
2010-02-26,12.7769
2010-03-01,12.7454
2010-03-02,12.7259
2010-03-03,12.69
2010-03-04,12.7182
2010-03-05,12.6557
2010-03-08,12.6618
2010-03-09,12.6574
2010-03-10,12.6028
2010-03-11,12.6192
2010-03-12,12.5527
2010-03-16,12.5254
2010-03-17,12.4892
2010-03-18,12.4729
2010-03-19,12.5796
2010-03-22,12.6052
2010-03-23,12.5284
2010-03-24,12.5381
2010-03-25,12.5009
2010-03-26,12.5426
2010-03-29,12.464
2010-03-30,12.4145
2010-03-31,12.3306
2010-04-05,12.2658
2010-04-06,12.2454
2010-04-07,12.2218
2010-04-08,12.2488
2010-04-09,12.1997
2010-04-12,12.1808
2010-04-13,12.2122
2010-04-14,12.1827
2010-04-15,12.1934
2010-04-16,12.2356
2010-04-19,12.3064
2010-04-20,12.2188
2010-04-21,12.1896
2010-04-22,12.2405
2010-04-23,12.1973
2010-04-26,12.1575
2010-04-27,12.2278
2010-04-28,12.3698
2010-04-29,12.2465
2010-04-30,12.2626
2010-05-03,12.2605
2010-05-04,12.4288
2010-05-05,12.6635
2010-05-06,12.7884
2010-05-07,12.9179
2010-05-10,12.5297
2010-05-11,12.5025
2010-05-12,12.4351
2010-05-13,12.3501
2010-05-14,12.5684
2010-05-17,12.6926
2010-05-18,12.5787
2010-05-19,12.9138
2010-05-20,13.1412
2010-05-21,13.0338
2010-05-24,12.9588
2010-05-25,13.1819
2010-05-26,12.9955
2010-05-27,12.8846
2010-05-28,12.8589
2010-05-31,12.9146
2010-06-01,12.9012
2010-06-02,12.8625
2010-06-03,12.7644
2010-06-04,12.8603
2010-06-07,12.9202
2010-06-08,12.9288
2010-06-09,12.8093
2010-06-10,12.7441
2010-06-11,12.6748
2010-06-14,12.5974
2010-06-15,12.6001
2010-06-16,12.5878
2010-06-17,12.5925
2010-06-18,12.54
2010-06-21,12.4604
2010-06-22,12.5246
2010-06-23,12.6984
2010-06-24,12.7141
2010-06-25,12.7042
2010-06-28,12.6567
2010-06-29,12.8394
2010-06-30,12.8441
2010-07-01,13.0325
2010-07-02,13.059
2010-07-05,13.0953
2010-07-06,12.9308
2010-07-07,12.8975
2010-07-08,12.8232
2010-07-09,12.7859
2010-07-12,12.8233
2010-07-13,12.714
2010-07-14,12.7176
2010-07-15,12.7795
2010-07-16,12.9013
2010-07-19,12.9162
2010-07-20,12.8549
2010-07-21,12.7798
2010-07-22,12.756
2010-07-23,12.7749
2010-07-26,12.6975
2010-07-27,12.6469
2010-07-28,12.6798
2010-07-29,12.7038
2010-07-30,12.6455
2010-08-02,12.5728
2010-08-03,12.6048
2010-08-04,12.5535
2010-08-05,12.5367
2010-08-06,12.655
2010-08-09,12.6461
2010-08-10,12.6927
2010-08-11,12.7432
2010-08-12,12.7258
